Entity,Code,Year,Coal,Gas,Hydro,Solar,Wind,Oil,Nuclear,Others
World,OWID_WRL,1985,37.9344696275668,14.397493017048,20.0397684347341,0.000118910834194428,0.000650052695745656,11.2231535513803,15.0712313842595,0.787432123643354
World,OWID_WRL,1986,37.726145389805,14.0431811746607,19.7224809568947,0.000149241097922447,0.00136456524220918,11.4629969689806,15.674568698528,0.841152532749445
World,OWID_WRL,1987,38.0452958605202,14.1868524224952,19.0701428356706,9.94250186702225E-05,0.00183205544133401,11.0744921667274,16.2666589216081,0.859338559226182
World,OWID_WRL,1988,37.7169020573078,13.8011744529659,18.8505628920121,9.15793889181603E-05,0.00297822620709056,11.2659272482828,16.9870666581449,0.846822802670363
World,OWID_WRL,1989,37.559033094928,14.7965538926281,17.9129611386314,0.00225007664899492,0.0227371190006767,11.5559050841672,16.6896840841567,0.8953884325035
World,OWID_WRL,1990,37.3023789535161,14.9287103882425,18.0549722526933,0.00324731771496425,0.0303784169381305,11.4119923352336,16.729900261073,0.978141990025468
World,OWID_WRL,1991,37.2987628528176,14.8223330583667,18.0824638935679,0.00413472874637068,0.0334468081441561,11.0470400241873,17.1557096631527,0.998344501508815
World,OWID_WRL,1992,37.7177794670188,14.7842221710219,17.9164344482027,0.00380040388855214,0.0383881540767215,10.7679354727166,17.1298481967449,1.06198827660934
World,OWID_WRL,1993,37.5411218161507,14.7427703537996,18.5934015083269,0.0044211099231453,0.045248230785169,10.0528842465053,17.351175031692,1.07436353783389
World,OWID_WRL,1994,37.8793097008597,14.8443700482405,18.2467989863394,0.00464526195685672,0.0551451785484688,10.075278679133,17.2323166669218,1.08704097511844
World,OWID_WRL,1995,37.677296780089,15.1629450801821,18.5838735807692,0.00479105334079007,0.0617703882389957,9.41182885305511,17.3634265892312,1.09427505241754
World,OWID_WRL,1996,38.2907440960468,15.1587814330645,18.2787779714012,0.00511420158251812,0.0667521995439575,9.02654112472537,17.4542351159704,1.09190906826405
World,OWID_WRL,1997,38.212213431365,15.993153891612,18.1731748935241,0.00535807576932178,0.0851092592779254,8.81208220487689,16.9277562050146,1.14222039920601
World,OWID_WRL,1998,37.9743606768885,16.5100154038582,17.8376527038657,0.00573540597143144,0.109781320824895,8.92857904685506,16.7650142329594,1.16365959139218
World,OWID_WRL,1999,37.7201560320848,17.3412455604672,17.4672149540692,0.00614174798369861,0.14222313357526,8.49282745312133,16.9221180200517,1.18916065078337
World,OWID_WRL,2000,37.7280818802809,18.0143484196993,17.667293529772,0.00723285497319577,0.213026664787191,7.98551963110935,16.8971958693371,1.48730115004148
World,OWID_WRL,2001,37.7830425442817,18.7215606622911,16.9690944219985,0.00891600151649256,0.255475591287527,7.74378989380619,17.0685299136313,1.44959097118723
World,OWID_WRL,2002,38.0478474930015,19.3772989473792,16.635891985764,0.0110266580026868,0.338831195964326,7.41615769379934,16.6751648261822,1.4977811999066
World,OWID_WRL,2003,39.1161488222124,19.5286547848849,16.1795741516019,0.0130301552380669,0.401829930652937,7.27654644886006,15.9615253929268,1.52269031362306
World,OWID_WRL,2004,38.7320951921547,20.061293121543,16.4288869129281,0.0164322309065123,0.502561713880772,6.89458084946057,15.8233827556353,1.54076722349128
World,OWID_WRL,2005,39.0039136012529,20.261690036679,16.4674681232475,0.0219523055624972,0.597932122155656,6.7558948368663,15.2904865038025,1.60066247043354
World,OWID_WRL,2006,39.6779807400682,20.6037924373454,16.3372082415286,0.0283303436452745,0.726078948320664,6.13465038756844,14.8746321128165,1.61732678870678
World,OWID_WRL,2007,40.4004856018648,21.243051893766,15.8475197558081,0.0365917110178466,0.895127844794531,6.04375296905397,13.8988672941473,1.63460292954725
World,OWID_WRL,2008,39.8244261218038,21.5672266895048,16.2373313952141,0.0588023377801189,1.12868109863017,5.80720815157409,13.6317377510581,1.7445864544348
World,OWID_WRL,2009,39.4659919582057,21.7193610787665,16.4448360418896,0.100196300348507,1.43283004562613,5.51899052683202,13.4815217416821,1.83627230664939
World,OWID_WRL,2010,39.6537753937861,22.3008662634589,16.2927697597484,0.146859976505038,1.66728731773105,5.08088265341402,12.9038023235829,1.95375631177345
World,OWID_WRL,2011,40.2777916546824,21.9182069817994,16.0635314940553,0.279095346040958,2.04888724490027,5.45208989147521,11.9567032011671,2.00369418587935
World,OWID_WRL,2012,39.3315301663309,22.6168113377484,16.5477092985556,0.436168105124879,2.42183669311958,5.58954100112497,10.9263278023635,2.13007559563214
World,OWID_WRL,2013,40.0583324684733,21.5533748470359,16.627931771661,0.586917246675152,2.85381068551482,5.37304794372863,10.7112877039171,2.23529733299404
World,OWID_WRL,2014,39.3362837317124,21.728618273143,16.771833872025,0.858348058589939,3.13959703279594,5.08240343912862,10.7309332298124,2.35198236279303
World,OWID_WRL,2015,37.7673788233475,22.8050360070781,16.5756291135464,1.09234107593912,3.55430180334377,5.10217480466998,10.706560331787,2.39657804028847
World,OWID_WRL,2016,36.6881349052289,23.0566173182361,16.8001749859198,1.37746341236472,4.00804344395102,5.02645231942628,10.5671347570513,2.47597885782223
World,OWID_WRL,2017,36.6669635194309,22.873988000892,16.5868636010183,1.8042652844621,4.61966551362624,4.5621446808463,10.3538906699808,2.5322187297436
World,OWID_WRL,2018,36.5629796774537,22.4704700991053,16.4682801785544,2.24146123818226,4.9534714204998,4.47746282964192,10.2286196626888,2.59725489387415
World,OWID_WRL,2019,35.0644408890494,22.9465518408808,16.4527915058284,2.71825859160586,5.47087907572718,4.20585297227221,10.5046134617379,2.63661166289834
